 Mach Number             (Cl)alpha - Rocket      (Cl)alpha - Nose/Body   (Cl)alpha - Wing        (Cl)alpha - Body-Wing   *                      
 1.98000000000000E+0000  1.12196067780577E+0001  2.69060923673029E+0000  6.84663037130699E+0000  1.68236717002050E+0000  0.00000000000000E+0000 
 2.01000000000000E+0000  1.10568763281622E+0001  2.71208941869004E+0000  6.78892145650780E+0000  1.55586545296435E+0000  0.00000000000000E+0000 
 2.04000000000000E+0000  1.07994402921311E+0001  2.73390620854678E+0000  6.73195622483967E+0000  1.33357785874467E+0000  0.00000000000000E+0000 
 2.07000000000000E+0000  1.07226119218966E+0001  2.75597425405765E+0000  6.67569178681320E+0000  1.29094588102584E+0000  0.00000000000000E+0000 
 2.10000000000000E+0000  1.06487542628596E+0001  2.77821050252961E+0000  6.62009187452228E+0000  1.25045188580779E+0000  0.00000000000000E+0000 
 2.13000000000000E+0000  1.05776059744098E+0001  2.80053396719581E+0000  6.56512649044421E+0000  1.21194551676980E+0000  0.00000000000000E+0000 
 2.16000000000000E+0000  1.05089270806605E+0001  2.82286552247471E+0000  6.51077128336871E+0000  1.17529027481710E+0000  0.00000000000000E+0000 
 2.19000000000000E+0000  1.04424964659522E+0001  2.84512772392027E+0000  6.45700681432213E+0000  1.14036192770981E+0000  0.00000000000000E+0000 
 2.22000000000000E+0000  1.03781095950279E+0001  2.86724464936704E+0000  6.40381780782442E+0000  1.10704713783645E+0000  0.00000000000000E+0000 
 2.25000000000000E+0000  1.03155764734263E+0001  2.88914175834002E+0000  6.35119244157217E+0000  1.07524227351412E+0000  0.00000000000000E+0000 
 2.28000000000000E+0000  1.02547198441597E+0001  2.91074576726252E+0000  6.29912170150059E+0000  1.04485237539662E+0000  0.00000000000000E+0000 
 2.31000000000000E+0000  1.01953736062053E+0001  2.93198453837653E+0000  6.24759881328673E+0000  1.01579025454206E+0000  0.00000000000000E+0000 
 2.34000000000000E+0000  1.01431681423144E+0001  2.95857368764730E+0000  6.19661875196926E+0000  9.87975702697929E-0001  0.00000000000000E+0000 
 2.37000000000000E+0000  1.00840694688541E+0001  2.97655684417345E+0000  6.14617782607187E+0000  9.61334798608824E-0001  0.00000000000000E+0000 
 2.40000000000000E+0000  1.00259739936088E+0001  2.99390136692452E+0000  6.09627332988647E+0000  9.35799296797810E-0001  0.00000000000000E+0000 
 2.43000000000000E+0000  9.96883199293447E+0000  3.01062264908946E+0000  6.04690325640766E+0000  9.11306087437345E-0001  0.00000000000000E+0000 
 2.46000000000000E+0000  9.91259831391929E+0000  3.02673553303118E+0000  5.99806606318124E+0000  8.87796717706873E-0001  0.00000000000000E+0000 
 2.49000000000000E+0000  9.85723180340940E+0000  3.04225435327124E+0000  5.94976048363315E+0000  8.65216966505015E-0001  0.00000000000000E+0000 
 2.52000000000000E+0000  9.80269481803195E+0000  3.05719297539618E+0000  5.90198537703115E+0000  8.43516465604620E-0001  0.00000000000000E+0000 
 2.55000000000000E+0000  9.74895280363811E+0000  3.07156483134029E+0000  5.85473961094249E+0000  8.22648361355333E-0001  0.00000000000000E+0000 
 2.58000000000000E+0000  9.69597393412339E+0000  3.08538295144195E+0000  5.80802197079325E+0000  8.02569011888201E-0001  0.00000000000000E+0000 
 2.61000000000000E+0000  9.64372880096553E+0000  3.09865999362019E+0000  5.76183109185518E+0000  7.83237715490157E-0001  0.00000000000000E+0000 
 2.64000000000000E+0000  9.59219014604644E+0000  3.11140826997595E+0000  5.71616540965340E+0000  7.64616466417085E-0001  0.00000000000000E+0000 
 2.67000000000000E+0000  9.54133263139770E+0000  3.12363977108502E+0000  5.67102312539064E+0000  7.46669734922038E-0001  0.00000000000000E+0000 
 2.70000000000000E+0000  9.49113264044033E+0000  3.13536618821848E+0000  5.62640218351601E+0000  7.29364268705839E-0001  0.00000000000000E+0000 
 2.73000000000000E+0000  9.44156810609215E+0000  3.14659893369823E+0000  5.58230025903009E+0000  7.12668913363830E-0001  0.00000000000000E+0000 
 2.76000000000000E+0000  9.39261836180501E+0000  3.15734915957191E+0000  5.53871475251798E+0000  6.96554449715119E-0001  0.00000000000000E+0000 
 2.79000000000000E+0000  9.34426401218240E+0000  3.16762777477003E+0000  5.49564279124390E+0000  6.80993446168470E-0001  0.00000000000000E+0000 
 2.82000000000000E+0000  9.29648380016842E+0000  3.17744244072867E+0000  5.45308123493105E+0000  6.65960124508696E-0001  0.00000000000000E+0000 
 2.85000000000000E+0000  9.24912135485418E+0000  3.18666443207332E+0000  5.41102668509571E+0000  6.51430237685147E-0001  0.00000000000000E+0000 
 2.88000000000000E+0000  9.20211227405732E+0000  3.19525581869202E+0000  5.36947549701058E+0000  6.37380958354723E-0001  0.00000000000000E+0000 
 2.91000000000000E+0000  9.15547637445709E+0000  3.20326180383286E+0000  5.32842379354483E+0000  6.23790777079403E-0001  0.00000000000000E+0000 
 2.94000000000000E+0000  9.10923080911722E+0000  3.21072391963811E+0000  5.28786748027259E+0000  6.10639409206520E-0001  0.00000000000000E+0000 
 2.97000000000000E+0000  9.06339033732382E+0000  3.21768036639151E+0000  5.24780226136091E+0000  5.97907709571393E-0001  0.00000000000000E+0000 
 3.00000000000000E+0000  9.01796756652168E+0000  3.22416631641482E+0000  5.20822365584783E+0000  5.85577594259025E-0001  0.00000000000000E+0000 
